text,label
I love this product,positive
This is amazing and useful,positive
The service was excellent,positive
I am very happy with the result,positive
The quality is great,positive
This app is very helpful,positive
The experience was wonderful,positive
I like this feature,positive
The team did a good job,positive
Everything works perfectly,positive
This is the best purchase,positive
I enjoyed using this,positive
The response was fast and helpful,positive
I am satisfied with the service,positive
The design is clean and beautiful,positive
The performance is impressive,positive
It solved my problem quickly,positive
The support team was friendly,positive
The model gives good results,positive
This tool saves time,positive
I hate this product,negative
This is very bad,negative
The service was poor,negative
I am disappointed with the result,negative
The quality is terrible,negative
This app is not helpful,negative
The experience was awful,negative
I dislike this feature,negative
The team did a bad job,negative
Nothing works properly,negative
This is the worst purchase,negative
I did not enjoy using this,negative
The response was slow and useless,negative
I am not satisfied with the service,negative
The design is confusing and ugly,negative
The performance is weak,negative
It failed to solve my problem,negative
The support team was rude,negative
The model gives poor results,negative
This tool wastes time,negative
